survey_date,admin0,admin0_code,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total_idp,total_ret,ret_idp,ret_refugees,admin_origin
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune III,ML090103,788,0,NA,NA,Bamako
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune IV,ML090104,386,0,NA,NA,Bamako
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune V,ML090105,391,0,NA,NA,Bamako
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune VI,ML090106,382,0,NA,NA,Bamako
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune I,MLI00900101,8736,0,NA,NA,NA
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune II,MLI00900102,1620,0,NA,NA,NA
2014-10-31,Mali,MLI,Kidal,MLI08,Abeibara,MLI0803,Abeibara,MLI00800301,1727,275,NA,NA,NA
2014-10-31,Mali,MLI,Kidal,MLI08,Tessalit,MLI0804,Tessalit,MLI00800403,3455,350,NA,NA,NA
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune III,MLI00900103,4061,0,NA,NA,NA
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune IV,MLI00900104,1895,0,NA,NA,NA
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune VI,MLI00900106,8806,0,NA,NA,NA
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune V,MLI00900105,6028,0,NA,NA,NA
2014-10-31,Mali,MLI,Kidal,MLI08,Kidal,MLI0801,Anefif,MLI00800101,5469,375,NA,NA,NA
2014-10-31,Mali,MLI,Kidal,MLI08,Tin-Essako,MLI0802,Tin Essako,MLI00800201,1374,0,NA,NA,NA
2014-10-31,Mali,MLI,Menaka,MLI07,Menaka,MLI0704,Menaka,MLI00700403,2381,44804,NA,NA,NA
2014-10-31,Mali,MLI,Gao,MLI07,Gao,MLI0701,Gao,MLI00700103,1230,32764,NA,NA,NA
2014-10-31,Mali,MLI,Gao,MLI07,Ansongo,MLI0702,Ansongo,MLI00700201,2291,44477,NA,NA,NA
2014-10-31,Mali,MLI,Gao,MLI07,Bourem,MLI0703,Bourem,MLI00700302,1168,22350,NA,NA,NA
2014-10-31,Mali,MLI,Tombouctou,MLI06,Goundam,MLI0603,Goundam Commune,MLI00600308,1354,9702,NA,NA,NA
2014-10-31,Mali,MLI,Tombouctou,MLI06,Gourma-Rharous,MLI0604,Rharous,MLI00600408,476,52864,NA,NA,NA
2014-10-31,Mali,MLI,Tombouctou,MLI06,Niafunke,MLI0605,Souboundou,MLI00600507,871,40764,NA,NA,NA
2014-10-31,Mali,MLI,Tombouctou,MLI06,Tombouctou,MLI0601,Tombouctou,MLI00600106,5193,71288,NA,NA,NA
2014-10-31,Mali,MLI,Mopti,MLI05,Tenenkou,MLI0508,Tenenkou Commune,MLI00500809,58,3307,NA,NA,NA
2014-10-31,Mali,MLI,Tombouctou,MLI06,Dire,MLI0602,Dire,MLI00600205,4050,15644,NA,NA,NA
2014-10-31,Mali,MLI,Mopti,MLI05,Douentza,MLI0506,Douentza Commune,MLI00500606,119,24176,NA,NA,NA
2014-10-31,Mali,MLI,Mopti,MLI05,Koro,MLI0507,Koro,MLI00500711,263,0,NA,NA,NA
2014-10-31,Mali,MLI,Ségou,MLI04,Macina,MLI0407,Macina,MLI00400705,88,0,NA,NA,NA
2014-10-31,Mali,MLI,Ségou,MLI04,Niono,MLI0405,Niono,MLI00400506,979,0,NA,NA,NA
2014-10-31,Mali,MLI,Ségou,MLI04,Tominian,MLI0406,Tominian,MLI00400611,37,0,NA,NA,NA
2014-10-31,Mali,MLI,Mopti,MLI05,Bankass,MLI0503,Bankass,MLI00500301,37,0,NA,NA,NA
2014-10-31,Mali,MLI,Mopti,MLI05,Youwarou,MLI0504,Youwarou,MLI00500407,44,2589,NA,NA,NA
2014-10-31,Mali,MLI,Mopti,MLI05,Djenne,MLI0505,Djenne Commune,MLI00500503,83,0,NA,NA,NA
2014-10-31,Mali,MLI,Mopti,MLI05,Bandiagara,MLI0502,Bandiagara Commune,MLI00500201,80,2813,NA,NA,NA
2014-10-31,Mali,MLI,Mopti,MLI05,Mopti,MLI0501,Mopti Commune,MLI00500109,3981,2602,NA,NA,NA
2014-10-31,Mali,MLI,Ségou,MLI04,Segou,MLI0402,Segou Commune,MLI00400224,2863,0,NA,NA,NA
2014-10-31,Mali,MLI,Ségou,MLI04,Bla,MLI0403,Bla,MLI00400302,52,0,NA,NA,NA
2014-10-31,Mali,MLI,Ségou,MLI04,San,MLI0404,San Commune,MLI00400417,625,0,NA,NA,NA
2014-10-31,Mali,MLI,Sikasso,MLI03,Sikasso,MLI0307,SIKASSO Commune,MLI00300737,183,0,NA,NA,NA
2014-10-31,Mali,MLI,Ségou,MLI04,Baroueli,MLI0401,Baraoueli,MLI00400101,72,0,NA,NA,NA
2014-10-31,Mali,MLI,Sikasso,MLI03,Yanfolila,MLI0304,Baya,MLI00300401,20,0,NA,NA,NA
2014-10-31,Mali,MLI,Sikasso,MLI03,Bougouni,MLI0306,Bougouni Commune,MLI00300602,50,0,NA,NA,NA
2014-10-31,Mali,MLI,Sikasso,MLI03,Koutiala,MLI0305,Koutiala Commune,MLI00300516,347,0,NA,NA,NA
2014-10-31,Mali,MLI,Kayes,MLI01,Kayes,MLI0101,Kayes Commune,MLI00100112,311,0,NA,NA,NA
2014-10-31,Mali,MLI,Kayes,MLI01,Diema,MLI0103,Diema,MLI00100304,84,0,NA,NA,NA
2014-10-31,Mali,MLI,Kayes,MLI01,Bafoulabe,MLI0102,Bafoulabe,MLI00100201,49,0,NA,NA,NA
2014-10-31,Mali,MLI,Kayes,MLI01,Yelimane,MLI0107,Guidime,MLI00100705,8,0,NA,NA,NA
2014-10-31,Mali,MLI,Kayes,MLI01,Nioro,MLI0106,Nioro Commune,MLI00100610,120,0,NA,NA,NA
2014-10-31,Mali,MLI,Kayes,MLI01,Kenieba,MLI0104,Kenieba,MLI00100409,40,0,NA,NA,NA
2014-10-31,Mali,MLI,Kayes,MLI01,Kita,MLI0105,Kita Commune,MLI00100513,120,0,NA,NA,NA
2014-10-31,Mali,MLI,Koulikoro,MLI02,Kati,MLI0205,Kati Commune,MLI00200518,12863,0,NA,NA,NA
2014-10-31,Mali,MLI,Sikasso,MLI03,Kadiolo,MLI0301,Kadiolo,MLI00300104,2,0,NA,NA,NA
2014-10-31,Mali,MLI,Sikasso,MLI03,Kolondieba,MLI0303,Kolondieba,MLI00300306,4,0,NA,NA,NA
2014-10-31,Mali,MLI,Sikasso,MLI03,Yorosso,MLI0302,Yorosso,MLI00300209,12,0,NA,NA,NA
2014-10-31,Mali,MLI,Koulikoro,MLI02,Koulikoro,MLI0201,Koulikoro Commune,MLI00200104,77,0,NA,NA,NA
